Hop,Country of Origin,Use,Citrus,Tropical Fruit,Stone Fruit,Berry,Floral,Grassy,Herbal,Spice,Pine/Resin
Adeena,USA,Aroma,0,0,0,0,0,0,0,0,0
Ahtanum,USA,Aroma,2,0,1,2,4,1,2,3,1
Aloha Blend,USA,Dual,2,0,0,0,2,0,1,3,3
Altus,USA,Aroma,2,0,0,0,0,0,1,4,4
Amarillo,USA,Aroma,4,1,1,0,1,0,0,0,0
Apolla,USA,Bittering,3,0,0,0,0,4,0,4,3
Aquilla,USA,Aroma,0,0,0,0,0,0,0,0,0
Arcadian,USA,Aroma,4,1,1,0,1,0,0,0,0
Azacca,USA,Dual,3,3,3,0,0,0,0,0,2
Banner,USA,Bittering,0,0,0,0,0,0,0,0,0
Belma,USA,Dual,0,0,0,0,0,0,0,0,0
Bergamot,USA,Dual,0,0,0,0,0,0,0,0,0
Bianca,USA,Aroma,3,3,3,0,0,0,0,0,2
Bitter Gold,USA,Dual,2,4,4,1,2,2,1,1,0
Bravo,USA,Bittering,3,1,1,1,2,0,3,2,0
Brewer's Gold,USA,Bittering,2,3,3,0,1,0,1,2,2
Bru-1,USA,Aroma,2,4,2,1,1,3,1,1,1
Bullion,USA,Dual,0,0,0,0,0,0,0,0,0
Buzz Bullets,USA,Dual,0,0,0,0,0,0,0,0,0
Caliente,USA,Dual,0,0,0,0,0,0,0,0,0
Calypso,USA,Dual,2,3,3,3,0,0,2,0,2
Cascade,USA,Dual,3,1,0,0,2,0,2,2,0
Cashmere,USA,Dual,1,3,3,3,0,0,0,2,0
Centenial,USA,Dual,4,0,0,0,2,0,0,0,2
Chelan,USA,Bittering,0,0,0,0,0,0,0,0,0
Chinook,USA,Dual,3,0,0,0,1,0,1,0,4
Citra,USA,Dual,5,4,1,0,1,0,0,2,2
Cluster,USA,Dual,3,2,0,0,1,0,2,0,1
Columbia,USA,Dual,0,0,0,0,0,0,0,0,0
Columbus,USA,Dual,1,0,0,0,0,0,3,4,0
Comet,USA,Dual,3,3,3,3,1,0,2,1,1
Contessa,USA,Bittering,1,1,1,1,3,0,4,0,1
Crystal,USA,Aroma,1,0,0,0,0,0,4,2,3
CTZ,USA,Dual,1,0,0,0,0,0,3,4,0
Delta,USA,Aroma,2,2,2,2,1,0,2,3,2
Diamond Springs,USA,Aroma,-,-,-,-,-,-,-,-,-
Ekuanot,USA,Aroma,3,0,0,2,1,0,3,1,0
El Dorado,USA,Dual,3,4,0,0,0,0,1,0,0
Emerald Spire,USA,Dual,0,0,0,0,0,0,0,0,0
Equinox,USA,Aroma,0,0,0,0,0,0,0,0,0
Eroica,USA,Bittering,0,0,0,0,0,0,0,0,0
Eureka,USA,Dual,1,2,2,2,0,0,4,3,3
Evergreen Blend,USA,Aroma,3,1,4,1,2,1,2,0,1
Falconer's Flight,USA,Aroma,0,0,0,0,0,0,0,0,0
Falconer's Flight 7CS,USA,Dual,0,0,0,0,0,0,0,0,0
Fantasia Blend,USA,Dual,-,-,-,-,-,-,-,-,-
Galena,USA,Aroma,2,0,0,0,0,0,1,2,3
Gemini,USA,Dual,0,0,0,0,0,0,0,0,0
Glacier,USA,Dual,2,2,2,2,1,0,3,0,1
Golding,USA,Aroma,2,1,1,1,1,1,2,3,2
Grungiest,USA,Aroma,0,0,0,0,0,0,0,0,0
Hallertau,USA,Aroma,0,0,0,0,0,0,0,0,0
Hartwick,USA,Aroma,-,-,-,-,-,-,-,-,-
HBC 360,USA,Dual,0,0,0,0,0,0,0,0,0
HBC 472,USA,Aroma,2,3,3,2,3,2,2,1,3
HBC 692,USA,Aroma,3,3,1,2,4,2,3,2,3
Horizon,USA,Dual,2,1,1,1,3,0,1,2,1
Hydra,USA,Dual,0,0,0,0,0,0,0,0,0
Idaho 7,USA,Aroma,3,4,4,0,1,0,2,1,2
Idaho Gem,USA,Dual,2,0,0,4,1,0,0,1,1
Independence,USA,Aroma,-,-,-,-,-,-,-,-,-
Jarrylo,USA,Dual,1,2,1,0,0,0,2,1,0
Lambic,USA,Aroma,0,0,0,0,0,0,0,0,0
Lawton,USA,Bittering,-,-,-,-,-,-,-,-,-
Lemondrop,USA,Aroma,3,2,2,2,1,0,3,1,1
Liberty,USA,Bittering,1,0,0,0,2,0,3,2,2
Loral,USA,Aroma,2,0,0,0,4,3,2,2,0
Lotus,USA,Aroma,2,4,3,4,1,0,2,2,1
Mackinac,USA,Aroma,0,0,0,0,0,0,0,0,0
Magnum,USA,Bittering,2,3,0,0,1,0,2,4,1
Medusa,USA,Aroma,4,3,3,1,0,1,0,0,0
Meridian,USA,Aroma,0,0,0,0,0,0,0,0,0
Michigan Copper,USA,Aroma,0,0,0,0,0,0,0,0,0
Millenium,USA,Bittering,2,1,2,3,1,0,1,2,3
Mosaic,USA,Dual,3,3,1,0,2,0,0,0,4
Mount Hood,USA,Aroma,0,0,0,0,3,1,4,3,1
Mount Rainer,USA,Dual,1,0,0,0,0,0,3,0,0
Multihead,USA,Aroma,0,0,0,0,0,0,0,0,0
Newport,USA,Bittering,0,0,0,0,0,0,0,0,0
Nobility Blend,USA,Dual,4,1,1,0,3,2,4,2,2
Northdown,USA,Dual,0,0,0,0,0,0,0,0,0
Norther Brewer,USA,Bittering,2,2,2,2,2,0,3,1,2
Nugget,USA,Dual,1,0,0,0,2,0,2,2,2
Old Mission,USA,Aroma,-,-,-,-,-,-,-,-,-
Olympic,USA,Dual,0,0,0,0,0,0,0,0,0
Pacific Crest,USA,Aroma,-,-,-,-,-,-,-,-,-
Pahto,USA,Bittering,0,0,0,0,3,2,3,2,0
Palisade,USA,Dual,3,3,0,3,2,0,1,0,0
Paradigm,USA,Aroma,0,0,0,0,0,0,0,0,0
Pekko,USA,Dual,3,3,1,2,4,0,4,3,2
Perle,USA,Dual,1,3,3,3,2,0,2,3,1
Petoskey,USA,Aroma,-,-,-,-,-,-,-,-,-
Prussion,USA,Aroma,-,-,-,-,-,-,-,-,-
Saaz,USA,Aroma,3,0,0,0,2,0,0,4,4
Sabro,USA,Aroma,3,0,1,0,2,0,3,1,0
Samba,USA,Aroma,4,5,3,0,1,0,1,1,0
Santiam,USA,Aroma,0,0,0,0,0,0,0,0,0
Satus,USA,Bittering,0,0,0,0,0,0,0,0,0
Saugatuck,USA,Aroma,-,-,-,-,-,-,-,-,-
Sequoia Blend,USA,Aroma,3,5,0,2,2,2,0,1,2
Shaddock,USA,Aroma,-,-,-,-,-,-,-,-,-
Simcoe,USA,Dual,4,4,1,5,1,0,2,2,2
Sitiva Blend,USA,Aroma,4,4,3,1,4,1,1,2,1
Sonnet,USA,Aroma,1,0,1,0,3,0,0,0,0
Sterling,USA,Aroma,2,0,0,0,2,1,3,2,0
Sticky Fingers Blend,USA,Dual,0,0,0,0,0,0,0,0,0
Strata,USA,Dual,-,-,-,-,-,-,-,-,-
Sultana,USA,Dual,4,3,2,1,1,0,1,1,3
Summit,USA,Bittering,2,0,0,0,0,0,4,4,0
Sun,USA,Bittering,0,0,0,0,0,0,0,0,0
Super Galena,USA,Bittering,1,1,1,1,3,0,2,4,1
Tahoma,USA,Aroma,3,0,0,0,1,0,0,2,1
Talisman,USA,Dual,0,0,0,0,0,0,0,0,0
Talus,USA,Aroma,3,3,1,1,3,1,2,0,1
Teamaker,USA,Aroma,0,0,0,0,0,0,0,0,0
Tettnang,USA,Aroma,1,0,0,0,2,0,3,3,3
Tillicum,USA,Bittering,0,0,0,0,0,0,0,0,0
TNT Blend,USA,Aroma,-,-,-,-,-,-,-,-,-
Tomohawk,USA,Dual,1,0,0,0,0,0,3,4,0
Trident,USA,Dual,4,4,4,2,2,0,1,1,1
Triple Pearl,USA,Dual,0,0,0,0,0,0,0,0,0
Triumph,USA,Dual,2,1,1,3,3,0,1,4,4
Tropica,USA,Dual,0,0,0,0,0,0,0,0,0
Ultra,USA,Aroma,0,0,0,0,0,0,0,0,0
Vanguard,USA,Aroma,2,3,3,3,0,0,3,0,0
Walhalla,USA,Aroma,-,-,-,-,-,-,-,-,-
Warrior,USA,Dual,2,0,0,0,2,0,1,3,3
Wild Wolf,USA,Dual,-,-,-,-,-,-,-,-,-
Willamette,USA,Dual,2,0,0,0,2,0,3,4,1
X13459,USA,Aroma,4,3,3,3,4,0,1,0,0
Yakima Cluster,USA,Bittering,0,0,0,0,0,0,0,0,0
Yakima Gold,USA,Dual,0,0,0,0,0,0,0,0,0
Zamba Blend,USA,Aroma,4,5,3,0,1,0,1,1,0
Zappa,USA,Aroma,1,4,3,1,1,0,0,2,1
Zenia,USA,Dual,0,0,0,0,0,0,0,0,0
Zenith,USA,Bittering,0,0,0,0,0,0,0,0,0
Zeus,USA,Bittering,1,0,0,0,0,0,3,4,0
Zythons,USA,Dual,0,0,0,0,0,0,0,0,0
Admiral,UK,Bittering,1,3,2,3,0,2,3,0,1
Archer,UK,Aroma,0,0,0,0,0,0,0,0,0
Beata,UK,Bittering,0,0,0,0,0,0,0,0,0
Boadica,UK,Dual,0,0,0,2,2,0,2,4,0
Bramling Cross,UK,Dual,-,-,-,-,-,-,-,-,-
Challenger,UK,Dual,1,0,0,0,0,0,3,3,2
Defender,UK,Aroma,0,0,0,0,0,0,0,0,0
East Kent Goldings,UK,Bittering,2,0,0,0,1,0,2,3,2
Endeavour,UK,Dual,1,1,1,1,1,1,2,2,2
Epic,UK,Aroma,0,0,0,0,0,0,0,0,0
First Gold,UK,Dual,2,2,2,2,2,0,3,1,2
Flyer,UK,Dual,0,0,0,0,0,0,0,0,0
Fuggle,UK,Aroma,2,0,0,0,0,0,2,3,4
Godiva,UK,Aroma,0,0,0,0,0,0,0,0,0
Hallertau Taurus,UK,Dual,0,1,0,0,0,0,0,3,3
Harlequin,UK,Dual,0,0,0,0,0,0,0,0,0
Herald,UK,Dual,0,0,0,0,0,0,0,0,0
Jester,UK,Dual,0,0,0,0,0,0,0,0,0
Minstrel,UK,Dual,0,0,0,0,0,0,0,0,0
Olicana,UK,Dual,0,0,0,0,0,0,0,0,0
Omega,UK,Aroma,0,0,0,0,0,0,0,0,0
Phoenix,UK,Dual,0,0,0,0,0,0,0,0,0
Pilgrim,UK,Dual,1,2,2,1,2,2,3,3,2
Pilot,UK,Bittering,0,0,0,0,0,0,0,0,0
Pioneer,UK,Dual,0,0,0,0,0,0,0,0,0
Progress,UK,Aroma,1,2,2,2,0,0,3,4,4
Sovereign,UK,Aroma,1,4,4,4,0,0,2,2,1
Sussex,UK,Aroma,0,0,0,0,0,0,0,0,0
Target,UK,Bittering,2,0,0,0,3,0,3,2,4
Whitbread Golding Variety,UK,Dual,0,0,0,0,3,0,1,2,2
Yeoman,UK,Dual,0,0,0,0,0,0,0,0,0
