2-row pale ale malt TEST,3,1.038,0.65
2-row pale malt,3,1.038,0.65
2-row pale malt organic,2,1.037,0.65
6-row pale malt,1.8,1.035,0.65
acidulated malt,2.1,1.033,0.65
agave,1,1.032,1
amber malt,22,1.032,0.65
aromatic malt,23,1.036,0.65
beechwood smoked malt,9,1.034,0.65
belgian candi sugar,0.5,1.036,0.65
belgian candi sugar (clear),0.5,1.036,0.65
belgian pilsner,2,1.037,0.65
biscuit malt,25,1.035,0.65
black patent malt,500,1,0.65
black prinz malt,500,1.006,0.65
briess cherry smoked malt,5,1.01,0.65
briess mesquite smoked malt,9,1.01,0.65
brown malt,65,1.032,0.65
brown sugar,40,1.046,0.65
candi sugar (amber),75,1.036,0.65
candi sugar (dark),275,1.036,0.65
cane sugar,0,1.046,1
cara amber,30,1.033,0.65
cara aroma,150,1.034,0.65
cara belge,12,1.03,0.65
cara brown,65,1.032,0.65
cara foam,2,1.033,0.65
cara munich,56,1.033,0.65
cara pils,1.5,1.033,0.65
cara pils dextrin,14,1.033,0.65
cara red,20,1.033,0.65
cara vienna,22,1.034,0.65
carafa 1 special dehusked,330,1.038,0.65
carafa 2 special dehusked,375,1.038,0.65
carafa 3 special dehusked,500,1.038,0.65
caramel light avangard malz premium (8L),8,1.03,0.65
caramel medium avangard malz premium (30L),30,1.03,0.65
caramel wheat,50,1.035,0.65
chocolate malt,350,1.034,0.65
chocolate rye,250,1.031,0.65
chocolate wheat,400,1.033,0.65
coffee kiln malt,150,1.001,0.65
corn sugar,0,1.037,1
crsystal malt (10 °L),10,1.036,0.65
crystal malt (120 °L+),120,1.033,0.65
crystal malt (150 °L+),150,1.033,0.65
crystal malt (20 °L),20,1.035,0.65
crystal malt (40 °L),40,1.034,0.65
crystal malt (60 °L),60,1.033,0.65
crystal malt (60 °L) organic,60,1.033,0.65
crystal malt (80 °L+),80,1.033,0.65
czech pilsen,2,1.036,0.65
dark brown sugar,60,1.046,0.65
dark munich,20,1.035,0.65
demerara sugar,1,1.011,0.65
dextrose (glucose),1,1.037,0.65
dingemans pale ale malt,3,1.037,0.65
dry malt extract amber,35,1.045,1
dry malt extract dark,60,1.045,1
dry malt extract extra light,6,1.045,1
dry malt extract light,6,1.045,1
dry malt extract wheat,12,1.045,1
fawcett oat malt (1.9-2.3°L),1,1.037,0.65
flaked barley,1.7,1.032,0.65
flaked maize,1,1.037,0.65
flaked oats,1,1.033,0.65
flaked rice,1,1.038,0.65
flaked rye,2,1.036,0.65
flaked wheat,2,1.036,0.65
german cara hell,10,1.033,0.65
german vienna malt,5,1.035,0.65
golden promise,2.5,1.037,0.65
honey,1,1.032,1
honey malt,25,1.034,0.65
invert sugar,0,1.046,0.65
lactose,0,1.043,1
licorice stick,0,0,0.65
liquid malt extract munich,3,1.033,1
liquid malt extract pale,3,1.037,1
liquid malt extract wheat,3,1.033,1
lyle's golden syrup,0,1.036,0.65
malteurop 2 row,3,1.038,1
maple sap,3,1.009,0.65
maple syrup,35,1.03,0.65
maris otter,3,1.038,1
melanoidin,25,1.033,1
meussdoerffer sour malt,25,1.033,1
michigan malt C10-C20 L,10,1.033,1
michigan malt wheat,2,1.036,1
midnight wheat,2,1.036,1
mild ale malt,3,1.037,1
molasses,80,1.036,0.65
munich avangard malz premium,6,1.034,0.65
munich malt,6,1.034,0.65
munich malt organic,6,1.034,0.65
muntons caramalt,60,1.034,0.65
oak smoked wheat,2,1.038,0.65
pale chocolate,350,1.034,0.65
patagonia malt,1.6,1.034,0.65
pearl malt,2.3,1.034,0.65
peated malt,2.8,1.034,0.65
pilot malt house 2-row,2,1.037,0.65
pilot malt house 6-row,1.8,1.035,0.65
pilot malt house munich,6,1.034,0.65
pilot malt house oak smoked malt,2,1.038,0.65
pilot malt house pale,3.8,1.036,1
pilot malt house red wheat,2.3,1.036,0.65
pilot malt house white wheat,2.4,1.04,0.65
pilsen avangard malz premium,0,1.037,0.65
pilsner malt,1.5,1.037,0.65
pilsner malt organic,1.5,1.037,0.65
rauchmalz,2,1.036,0.65
rice hulls,2,1.036,0.65
rice solids,0,1.04,0.65
roasted barley (300),300,1.025,0.65
rye malt,3.5,1.029,0.65
schill cologne (kolsch),60,1.037,0.65
simpson's golden naked oats,10,1.032,0.65
special b 1 pound,180,1.03,0.65
special roast,6,1.033,0.65
sucrose (white table sugar),0,1.046,0.65
torrified wheat,1.7,1.036,0.65
treacle,100,1.036,0.65
victory,25,1.034,0.65
vienna malt,3.5,1.036,0.65
weyermann cara bohemian,78,1.035,0.65
weyermann dark wheat,9,1.039,0.65
wheat avangard malz premium,2,1.039,0.65
wheat malt,2.3,1.038,0.65
white wheat,2.8,1,0.65
